,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0,5 liter draught)","Imported Beer (0,33 liter bottle)","Coke/Pepsi (0,33 liter bottle)","Water (0,33 liter bottle) ","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),"Water (1,5 liter bottle)",Bottle of Wine (Mid-Range),"Domestic Beer (0,5 liter bottle)","Imported Beer (0,33 liter bottle)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min, of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ,,,)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),"Toyota Corolla 1,6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Yekaterinburg, Russia","5,88 €","29,42 €","4,12 €","1,47 €","2,94 €","0,77 €","0,53 €","0,75 €","0,43 €","0,92 €","6,29 €","0,46 €","6,99 €","0,86 €","1,33 €","1,91 €","0,41 €","3,87 €","29,42 €","0,65 €","19.857,48 €","332,66 €","232,83 €","549,90 €","394,59 €","113,13 €","0,02 €","7,61 €","35,51 €","16,31 €","3,68 €","62,56 €","38,29 €","74,23 €","91,27 €","1.412,29 €","955,57 €","537,99 €","10,56 €","1,47 €","0,21 €","3,53 €","1,29 €","1,21 €","0,43 €","0,52 €","1,65 €","0,83 €","1,31 €","0,97 €","0,41 €","6,79 €","18.832,10 €","199,74 €","3.166,47 €"
"Poznan, Poland","5,90 €","23,61 €","4,72 €","2,01 €","2,36 €","0,92 €","0,71 €","0,63 €","0,70 €","1,87 €","5,60 €","0,39 €","4,72 €","0,72 €","1,00 €","3,74 €","0,94 €","3,61 €","26,70 €","1,20 €","18.558,88 €","443,21 €","351,37 €","742,09 €","582,42 €","155,60 €","0,06 €","11,62 €","22,13 €","11,00 €","5,90 €","72,06 €","30,29 €","63,96 €","76,16 €","2.021,62 €","1.409,71 €","791,94 €","4,03 €","1,42 €","0,57 €","7,08 €","0,69 €","1,11 €","0,53 €","0,71 €","2,06 €","0,72 €","1,43 €","0,96 €","0,67 €","7,11 €","17.368,45 €","197,95 €","3.659,83 €"
"Wroclaw, Poland","5,91 €","25,99 €","4,72 €","1,89 €","2,36 €","0,97 €","0,75 €","0,56 €","0,75 €","1,90 €","5,91 €","0,45 €","5,91 €","0,72 €","0,96 €","3,78 €","0,80 €","4,01 €","21,26 €","1,19 €","16.772,88 €","517,55 €","411,50 €","843,34 €","642,74 €","162,51 €","0,06 €","12,26 €","22,14 €","12,26 €","5,91 €","63,32 €","30,61 €","64,57 €","77,59 €","2.135,98 €","1.530,15 €","848,11 €","3,71 €","1,42 €","0,59 €","5,91 €","0,68 €","1,15 €","0,54 €","0,79 €","2,12 €","0,83 €","1,46 €","1,06 €","0,66 €","8,20 €","18.141,80 €","255,31 €","6.726,13 €"
"Krakow (Cracow), Poland","5,91 €","23,62 €","4,72 €","2,13 €","2,36 €","1,09 €","0,96 €","0,61 €","0,76 €","1,67 €","5,51 €","0,47 €","5,91 €","0,77 €","1,20 €","3,78 €","0,90 €","3,99 €","25,04 €","1,20 €","18.568,29 €","513,06 €","392,83 €","897,17 €","626,23 €","173,28 €","0,05 €","12,75 €","23,27 €","10,35 €","5,91 €","56,98 €","27,82 €","60,83 €","69,58 €","2.664,65 €","1.775,17 €","855,87 €","4,07 €","1,65 €","0,54 €","8,27 €","0,76 €","1,17 €","0,58 €","0,72 €","2,05 €","0,82 €","1,49 €","1,08 €","0,68 €","8,05 €","18.145,28 €","195,09 €","6.511,18 €"
"Gdansk, Poland","5,91 €","23,62 €","4,25 €","2,13 €","2,36 €","1,10 €","0,90 €","0,59 €","0,67 €","1,97 €","5,75 €","0,45 €","4,72 €","0,76 €","1,16 €","3,78 €","0,76 €","3,91 €","22,21 €","1,19 €","18.568,29 €","515,00 €","380,61 €","840,83 €","612,47 €","169,90 €","0,07 €","12,32 €","28,79 €","11,36 €","5,20 €","66,10 €","29,86 €","70,49 €","80,90 €","2.602,99 €","1.639,29 €","865,09 €","4,13 €","1,65 €","0,57 €","8,50 €","0,78 €","1,09 €","0,52 €","0,72 €","2,15 €","0,84 €","1,33 €","1,03 €","0,58 €","7,57 €","17.406,43 €","189,82 €","3.593,18 €"
"Warsaw, Poland","5,91 €","28,35 €","4,72 €","2,36 €","2,36 €","0,99 €","0,80 €","0,63 €","0,76 €","1,86 €","6,61 €","0,50 €","5,91 €","0,78 €","1,14 €","3,90 €","1,04 €","4,27 €","25,99 €","1,19 €","18.568,29 €","616,05 €","467,73 €","1.071,69 €","789,88 €","147,35 €","0,06 €","12,70 €","25,97 €","14,40 €","7,09 €","66,64 €","35,36 €","71,72 €","85,27 €","3.273,89 €","2.125,57 €","979,42 €","4,05 €","1,89 €","0,57 €","9,45 €","0,73 €","1,21 €","0,62 €","0,81 €","2,49 €","0,87 €","1,50 €","1,07 €","0,66 €","9,74 €","18.629,93 €","327,54 €","7.943,07 €"
"Brno, Czech Republic","5,95 €","25,19 €","5,16 €","1,39 €","1,59 €","1,19 €","0,89 €","0,71 €","0,89 €","1,65 €","7,35 €","0,53 €","4,76 €","0,61 €","1,04 €","4,17 €","0,99 €","5,83 €","21,82 €","1,29 €","17.851,84 €","558,68 €","439,63 €","948,79 €","715,40 €","145,16 €","0,13 €","17,58 €","29,98 €","9,08 €","7,62 €","58,75 €","30,91 €","71,83 €","78,65 €","2.739,92 €","2.039,24 €","1.022,13 €","2,74 €","2,38 €","1,19 €","10,71 €","1,19 €","1,34 €","0,75 €","0,83 €","1,88 €","1,42 €","2,01 €","1,20 €","0,71 €","9,85 €","19.466,46 €","332,95 €","5.549,50 €"
"Prague, Czech Republic","5,95 €","29,75 €","5,55 €","1,59 €","1,98 €","1,24 €","0,92 €","0,77 €","0,98 €","1,70 €","8,05 €","0,53 €","5,16 €","0,66 €","1,26 €","4,05 €","0,95 €","6,07 €","21,82 €","1,29 €","17.812,17 €","805,86 €","593,84 €","1.294,80 €","908,64 €","177,27 €","0,13 €","19,95 €","34,67 €","12,47 €","7,93 €","71,75 €","33,18 €","72,06 €","90,95 €","4.972,45 €","3.474,20 €","1.183,75 €","2,71 €","1,59 €","1,11 €","14,28 €","1,25 €","1,41 €","0,92 €","0,99 €","2,17 €","1,42 €","1,79 €","1,22 €","0,86 €","9,25 €","17.568,31 €","480,35 €","8.672,30 €"
"Budapest, Hungary","5,99 €","29,96 €","4,79 €","1,50 €","1,80 €","1,01 €","0,82 €","0,70 €","0,69 €","1,49 €","5,67 €","0,34 €","4,04 €","0,78 €","1,08 €","4,04 €","1,05 €","4,37 €","28,46 €","1,19 €","17.376,41 €","480,55 €","356,04 €","920,02 €","635,08 €","147,94 €","0,08 €","13,06 €","37,85 €","12,39 €","5,39 €","58,08 €","27,52 €","68,09 €","78,72 €","2.913,16 €","1.908,92 €","755,32 €","4,82 €","2,10 €","0,90 €","13,48 €","1,03 €","1,16 €","0,83 €","0,94 €","1,41 €","1,02 €","1,78 €","1,28 €","0,89 €","7,62 €","18.153,92 €","273,30 €","6.677,13 €"
"Buenos Aires, Argentina","5,99 €","20,97 €","4,94 €","1,50 €","1,95 €","0,94 €","0,73 €","0,81 €","1,10 €","1,35 €","5,74 €","0,85 €","3,00 €","0,99 €","1,51 €","1,62 €","0,30 €","3,69 €","10,78 €","0,79 €","16.200,77 €","245,13 €","197,02 €","436,43 €","334,47 €","68,07 €","0,13 €","24,79 €","25,90 €","9,29 €","5,99 €","49,47 €","39,77 €","65,38 €","65,54 €","2.865,01 €","2.208,84 €","483,99 €","48,69 €","0,72 €","0,34 €","4,12 €","1,02 €","0,54 €","0,53 €","0,77 €","1,46 €","0,77 €","1,02 €","1,13 €","0,74 €","4,71 €","16.555,15 €","162,72 €","3.114,28 €"
"Bratislava, Slovakia","6,00 €","30,00 €","6,00 €","2,00 €","2,00 €","1,62 €","1,25 €","0,76 €","0,96 €","1,92 €","7,54 €","0,59 €","5,00 €","0,72 €","1,27 €","3,85 €","0,90 €","5,33 €","27,00 €","1,33 €","16.000,00 €","635,45 €","486,91 €","1.055,77 €","794,00 €","180,44 €","0,09 €","15,69 €","26,77 €","12,32 €","7,99 €","61,69 €","26,40 €","64,30 €","76,50 €","3.178,46 €","2.339,13 €","1.059,38 €","1,58 €","3,00 €","0,82 €","15,00 €","1,57 €","1,47 €","0,86 €","0,95 €","2,09 €","1,13 €","2,32 €","1,56 €","0,88 €","8,59 €","15.734,55 €","400,40 €","8.060,00 €"
"Kaunas, Lithuania","6,00 €","30,00 €","5,00 €","2,70 €","3,00 €","1,31 €","1,11 €","0,85 €","1,13 €","1,53 €","7,12 €","0,76 €","7,50 €","1,22 €","1,71 €","3,75 €","1,00 €","5,07 €","28,00 €","1,18 €","18.000,00 €","359,31 €","246,21 €","616,67 €","396,00 €","122,48 €","0,06 €","10,14 €","27,64 €","18,07 €","7,00 €","69,40 €","30,12 €","71,96 €","96,00 €","1.983,00 €","1.235,42 €","771,00 €","2,48 €","0,80 €","0,55 €","8,50 €","0,88 €","1,32 €","0,46 €","1,17 €","2,12 €","1,12 €","1,61 €","1,03 €","0,48 €","7,12 €","18.406,01 €","308,57 €","6.000,00 €"
"Abu Dhabi, United Arab Emirates","6,12 €","48,92 €","6,24 €","9,78 €","9,78 €","0,80 €","0,29 €","1,53 €","1,20 €","2,29 €","8,56 €","0,62 €","17,12 €","2,97 €","2,80 €","5,14 €","0,49 €","5,73 €","19,57 €","0,54 €","20.179,96 €","1.167,16 €","888,13 €","2.308,39 €","1.770,69 €","116,51 €","0,13 €","93,29 €","73,81 €","26,32 €","9,78 €","57,76 €","44,76 €","79,53 €","80,32 €","3.137,18 €","2.577,28 €","2.369,85 €","4,07 €","2,94 €","0,46 €","7,34 €","2,19 €","1,84 €","0,97 €","1,58 €","4,59 €","1,53 €","1,65 €","1,88 €","0,92 €","10,41 €","16.818,27 €","532,13 €","9.480,36 €"
"Varna, Bulgaria","6,12 €","20,42 €","4,08 €","1,02 €","1,53 €","0,87 €","0,54 €","1,02 €","0,51 €","1,50 €","4,91 €","0,47 €","4,59 €","0,60 €","0,99 €","2,81 €","0,51 €","4,50 €","20,42 €","1,12 €","18.374,14 €","235,36 €","170,63 €","440,04 €","305,21 €","75,54 €","0,13 €","11,20 €","22,19 €","10,43 €","6,12 €","38,91 €","25,60 €","58,15 €","63,31 €","1.016,49 €","682,83 €","511,50 €","4,28 €","0,56 €","0,45 €","7,66 €","1,01 €","1,15 €","0,52 €","0,62 €","1,23 €","1,05 €","1,27 €","1,39 €","0,54 €","7,40 €","17.065,34 €","263,81 €","3.585,51 €"
"Sofia, Bulgaria","6,14 €","25,57 €","4,60 €","1,53 €","1,97 €","0,84 €","0,59 €","1,04 €","0,56 €","1,73 €","5,99 €","0,54 €","4,60 €","0,70 €","1,29 €","2,86 €","0,82 €","5,01 €","25,57 €","1,16 €","19.518,73 €","370,72 €","285,96 €","665,27 €","479,09 €","89,74 €","0,15 €","10,38 €","24,34 €","11,08 €","6,14 €","55,98 €","27,08 €","67,24 €","71,30 €","1.560,46 €","1.049,71 €","708,65 €","3,51 €","0,41 €","0,41 €","6,75 €","1,01 €","1,16 €","0,61 €","0,64 €","1,25 €","1,08 €","1,41 €","1,28 €","0,59 €","7,33 €","18.183,20 €","325,23 €","4.753,12 €"
"Doha, Qatar","6,18 €","49,47 €","6,18 €","11,13 €","11,13 €","0,65 €","0,28 €","1,62 €","1,40 €","2,53 €","8,09 €","0,51 €","28,32 €","7,58 €","8,42 €","5,19 €","0,74 €","6,07 €","37,00 €","0,48 €","17.315,57 €","1.320,12 €","874,29 €","2.500,00 €","1.729,62 €","64,59 €","0,15 €","78,31 €","95,89 €","24,29 €","8,66 €","55,34 €","46,12 €","83,76 €","78,59 €","3.986,95 €","2.696,24 €","2.827,76 €","4,80 €","2,47 €","0,47 €","7,92 €","1,80 €","1,42 €","0,99 €","1,48 €","4,62 €","1,43 €","1,60 €","1,40 €","0,77 €","8,98 €","16.539,84 €","537,35 €","8.918,89 €"
"Brasov, Romania","6,27 €","20,91 €","4,18 €","1,25 €","1,88 €","1,07 €","0,90 €","0,91 €","0,57 €","1,87 €","5,78 €","0,47 €","4,18 €","0,59 €","1,01 €","3,71 €","0,52 €","3,97 €","17,77 €","1,20 €","15.960,00 €","304,39 €","228,70 €","468,59 €","359,43 €","100,39 €","0,02 €","7,53 €","29,81 €","9,20 €","6,27 €","46,69 €","32,20 €","56,44 €","63,31 €","1.277,19 €","979,61 €","554,56 €","4,70 €","0,42 €","0,43 €","4,18 €","0,68 €","1,00 €","0,48 €","0,50 €","1,41 €","1,07 €","1,05 €","1,07 €","0,54 €","6,97 €","17.335,45 €","225,24 €","4.127,26 €"
"Bucharest, Romania","6,28 €","27,21 €","4,19 €","1,78 €","2,09 €","1,39 €","1,22 €","1,02 €","0,58 €","2,07 €","5,25 €","0,51 €","4,60 €","0,72 €","1,23 €","3,98 €","0,27 €","4,48 €","10,47 €","1,20 €","16.534,62 €","401,41 €","268,02 €","670,59 €","441,78 €","89,13 €","0,07 €","8,47 €","35,84 €","13,26 €","6,28 €","59,55 €","30,88 €","64,38 €","73,59 €","1.786,57 €","1.087,44 €","658,66 €","6,32 €","0,42 €","0,42 €","3,98 €","0,90 €","1,06 €","0,68 €","0,60 €","1,87 €","1,09 €","1,23 €","1,20 €","0,71 €","6,88 €","18.299,48 €","321,02 €","6.232,03 €"
"San Jose, Costa Rica","6,29 €","42,47 €","6,29 €","2,36 €","3,81 €","1,37 €","1,18 €","1,23 €","1,69 €","2,50 €","5,94 €","2,16 €","12,58 €","1,89 €","3,37 €","3,46 €","0,63 €","7,01 €","42,12 €","1,00 €","20.446,99 €","461,72 €","405,66 €","884,11 €","757,82 €","65,12 €","0,06 €","65,30 €","53,68 €","24,90 €","5,50 €","60,21 €","43,17 €","87,40 €","86,80 €","1.412,49 €","1.305,61 €","708,44 €","9,45 €","1,02 €","1,04 €","5,95 €","3,76 €","2,08 €","1,81 €","0,94 €","2,64 €","1,82 €","2,28 €","1,29 €","1,92 €","8,87 €","23.528,04 €","322,57 €","7.231,91 €"
"Amman, Jordan","6,34 €","38,02 €","6,34 €","6,34 €","6,34 €","0,47 €","0,34 €","1,49 €","0,43 €","1,89 €","7,30 €","0,53 €","19,01 €","4,44 €","5,88 €","3,17 €","0,63 €","6,06 €","38,02 €","1,07 €","30.414,16 €","373,84 €","261,02 €","619,69 €","446,92 €","80,62 €","0,05 €","38,86 €","56,38 €","26,48 €","10,14 €","59,21 €","59,53 €","84,76 €","84,40 €","1.218,93 €","819,22 €","545,55 €","7,91 €","0,44 €","0,39 €","6,34 €","1,88 €","1,28 €","0,88 €","0,59 €","3,74 €","1,43 €","0,74 €","1,60 €","0,71 €","10,96 €","26.341,51 €","240,53 €","4.568,62 €"
"Seoul, South Korea","6,42 €","31,11 €","5,06 €","3,11 €","4,67 €","1,33 €","0,75 €","1,95 €","2,47 €","2,67 €","17,41 €","1,17 €","15,55 €","2,15 €","2,23 €","3,50 €","0,97 €","7,48 €","42,78 €","1,18 €","24.887,49 €","714,76 €","465,05 €","1.903,90 €","1.036,41 €","150,79 €","0,11 €","19,76 €","55,64 €","17,57 €","7,78 €","58,75 €","41,24 €","75,40 €","119,08 €","13.807,23 €","6.552,41 €","2.120,34 €","3,56 €","2,96 €","0,59 €","9,33 €","6,70 €","5,79 €","3,80 €","2,24 €","3,72 €","3,61 €","5,76 €","3,50 €","2,83 €","29,31 €","21.511,36 €","323,08 €","16.410,38 €"
"Sao Paulo, Brazil","6,58 €","28,51 €","5,92 €","1,97 €","3,29 €","1,10 €","0,69 €","0,74 €","1,35 €","1,62 €","7,78 €","0,61 €","8,77 €","1,17 €","2,45 €","2,19 €","0,94 €","2,76 €","45,82 €","0,92 €","20.133,28 €","448,08 €","294,58 €","879,31 €","580,49 €","54,21 €","0,37 €","24,20 €","25,41 €","31,80 €","7,68 €","40,04 €","35,07 €","71,26 €","54,20 €","2.337,54 €","1.553,09 €","470,25 €","9,67 €","1,10 €","0,60 €","7,24 €","1,44 €","0,94 €","0,98 €","0,59 €","1,46 €","0,91 €","1,48 €","1,08 €","1,00 €","6,13 €","19.475,33 €","382,48 €","10.102,57 €"
"Zagreb, Croatia","6,72 €","33,58 €","5,37 €","2,01 €","2,42 €","1,91 €","1,32 €","0,87 €","0,86 €","2,04 €","7,62 €","0,92 €","5,37 €","1,02 €","1,60 €","4,03 €","0,54 €","6,79 €","48,36 €","1,35 €","19.477,30 €","473,12 €","341,08 €","777,81 €","542,49 €","174,07 €","0,11 €","22,12 €","34,96 €","9,19 €","5,37 €","73,88 €","30,63 €","78,16 €","92,24 €","2.701,80 €","1.892,37 €","903,99 €","3,90 €","1,34 €","0,67 €","5,37 €","1,06 €","1,34 €","0,79 €","0,77 €","1,51 €","1,69 €","1,54 €","1,43 €","0,80 €","8,77 €","19.816,57 €","144,52 €","3.840,88 €"
"Santiago, Chile","6,94 €","34,68 €","5,20 €","2,95 €","3,47 €","0,94 €","0,80 €","0,87 €","1,26 €","2,24 €","7,57 €","0,96 €","5,20 €","1,00 €","1,67 €","4,39 €","0,92 €","4,41 €","43,57 €","0,95 €","13.870,83 €","369,11 €","349,97 €","701,83 €","635,33 €","89,62 €","0,11 €","29,58 €","26,45 €","15,44 €","5,78 €","44,51 €","23,96 €","49,88 €","68,12 €","1.963,73 €","1.915,99 €","618,33 €","3,73 €","0,35 €","1,16 €","9,02 €","1,41 €","1,09 €","0,93 €","0,92 €","2,19 €","1,04 €","1,21 €","1,00 €","1,02 €","7,67 €","12.884,76 €","353,88 €","5.825,36 €"
"Porto, Portugal","7,00 €","30,00 €","6,00 €","2,00 €","2,50 €","1,34 €","0,99 €","0,67 €","1,25 €","1,79 €","6,30 €","0,56 €","4,00 €","0,99 €","2,13 €","5,00 €","1,27 €","5,38 €","31,00 €","1,53 €","25.900,00 €","682,50 €","507,14 €","1.281,43 €","862,50 €","101,15 €","0,15 €","31,12 €","32,22 €","11,86 €","6,95 €","84,43 €","29,37 €","68,50 €","74,45 €","2.653,79 €","1.571,46 €","801,61 €","2,59 €","3,50 €","0,48 €","14,80 €","1,71 €","1,34 €","0,99 €","0,95 €","1,61 €","0,86 €","1,36 €","1,20 €","1,23 €","9,41 €","24.087,50 €","324,00 €","5.992,86 €"
"Riga, Latvia","7,00 €","40,00 €","5,00 €","2,90 €","2,20 €","1,01 €","0,69 €","0,88 €","0,88 €","1,69 €","6,16 €","0,57 €","6,00 €","1,03 €","1,31 €","3,80 €","1,15 €","4,96 €","50,00 €","1,28 €","18.000,00 €","385,07 €","276,53 €","698,49 €","488,06 €","172,23 €","0,09 €","16,20 €","34,77 €","21,00 €","8,00 €","60,72 €","33,49 €","69,47 €","85,56 €","1.845,24 €","1.140,27 €","806,02 €","2,47 €","2,00 €","0,64 €","7,80 €","1,04 €","1,49 €","0,44 €","1,17 €","2,45 €","1,38 €","1,73 €","1,31 €","0,47 €","6,87 €","17.447,92 €","332,80 €","12.155,00 €"
"Vilnius, Lithuania","7,00 €","35,00 €","5,00 €","3,00 €","3,00 €","1,50 €","1,24 €","0,86 €","0,97 €","1,53 €","6,82 €","0,66 €","6,50 €","1,08 €","1,39 €","3,95 €","1,00 €","4,52 €","29,00 €","1,20 €","17.500,00 €","488,14 €","329,77 €","840,00 €","523,64 €","115,86 €","0,08 €","11,03 €","27,61 €","18,39 €","7,00 €","50,87 €","35,79 €","72,82 €","96,96 €","2.745,14 €","1.679,63 €","912,37 €","2,39 €","1,00 €","0,60 €","8,00 €","0,84 €","1,14 €","0,41 €","1,00 €","2,10 €","1,41 €","1,36 €","1,00 €","0,48 €","6,47 €","17.570,00 €","345,00 €","7.031,25 €"
"Dubai, United Arab Emirates","7,33 €","48,89 €","6,11 €","11,00 €","11,00 €","0,82 €","0,36 €","1,40 €","1,12 €","2,67 €","9,81 €","0,55 €","14,67 €","3,79 €","3,78 €","5,13 €","1,47 €","6,58 €","61,11 €","0,56 €","19.555,79 €","1.348,79 €","888,37 €","2.749,41 €","1.887,72 €","156,63 €","0,11 €","90,42 €","71,73 €","29,52 €","9,78 €","56,09 €","46,54 €","85,37 €","87,23 €","3.101,67 €","1.957,50 €","2.577,55 €","4,32 €","2,93 €","0,49 €","7,33 €","1,97 €","1,48 €","0,91 €","1,46 €","4,40 €","1,68 €","1,46 €","1,59 €","0,73 €","10,75 €","17.555,13 €","490,90 €","9.343,89 €"
"Saint Petersburg, Russia","7,34 €","29,35 €","4,40 €","2,20 €","2,20 €","0,76 €","0,53 €","0,98 €","0,71 €","1,18 €","7,60 €","0,63 €","5,87 €","0,88 €","1,89 €","2,20 €","0,59 €","3,96 €","42,56 €","0,67 €","19.289,39 €","524,45 €","344,27 €","1.012,53 €","615,19 €","102,17 €","0,03 €","6,96 €","26,27 €","18,33 €","5,14 €","71,86 €","38,25 €","74,88 €","100,72 €","2.476,05 €","1.507,70 €","645,94 €","10,29 €","1,47 €","0,26 €","4,40 €","1,29 €","1,25 €","0,56 €","0,86 €","1,96 €","0,92 €","1,91 €","0,89 €","0,48 €","7,18 €","19.305,29 €","411,83 €","5.388,86 €"
"Durban, South Africa","7,47 €","25,53 €","3,74 €","1,62 €","1,68 €","0,79 €","0,63 €","0,87 €","0,79 €","1,52 €","5,84 €","1,05 €","3,27 €","0,96 €","1,47 €","2,49 €","0,93 €","3,94 €","23,35 €","0,97 €","17.242,92 €","302,38 €","325,53 €","583,09 €","639,56 €","76,88 €","0,12 €","58,20 €","27,15 €","9,31 €","5,29 €","43,79 €","28,21 €","75,01 €","82,04 €","618,83 €","694,26 €","933,21 €","10,64 €","1,17 €","0,75 €","4,36 €","1,25 €","1,25 €","0,78 €","0,85 €","1,58 €","1,11 €","0,92 €","0,98 €","0,82 €","5,72 €","17.400,43 €","159,71 €","3.425,69 €"
"Tallinn, Estonia","8,00 €","45,00 €","6,00 €","4,00 €","4,00 €","1,83 €","1,45 €","0,70 €","0,87 €","1,58 €","7,20 €","0,58 €","7,00 €","1,42 €","1,53 €","4,25 €","2,00 €","5,28 €","23,00 €","1,35 €","17.600,00 €","533,33 €","364,36 €","869,29 €","611,46 €","175,25 €","0,04 €","22,88 €","45,44 €","23,03 €","8,00 €","71,23 €","30,54 €","67,16 €","88,33 €","2.632,65 €","1.810,14 €","1.188,81 €","2,39 €","2,50 €","0,50 €","10,50 €","1,13 €","1,37 €","0,49 €","0,99 €","2,79 €","1,39 €","1,93 €","1,06 €","0,56 €","8,34 €","17.310,65 €","250,94 €","7.666,24 €"
"Ljubljana, Slovenia","8,00 €","35,00 €","5,00 €","2,60 €","3,40 €","2,15 €","1,58 €","0,91 €","1,08 €","2,29 €","10,36 €","0,59 €","6,00 €","1,05 €","1,73 €","4,10 €","1,30 €","7,69 €","37,00 €","1,30 €","19.000,00 €","579,89 €","448,26 €","1.063,75 €","783,33 €","199,61 €","0,07 €","33,00 €","40,61 €","13,78 €","6,78 €","62,23 €","29,24 €","76,41 €","90,59 €","3.541,67 €","2.605,88 €","1.155,72 €","3,19 €","1,00 €","0,90 €","13,90 €","1,36 €","1,36 €","0,85 €","1,18 €","1,48 €","1,46 €","1,95 €","1,21 €","0,94 €","9,42 €","19.070,45 €","368,78 €","10.118,75 €"
"Tokyo, Japan","8,19 €","40,97 €","5,70 €","4,10 €","4,92 €","1,20 €","0,87 €","1,55 €","1,54 €","1,95 €","9,64 €","1,07 €","9,01 €","2,22 €","3,45 €","4,10 €","1,56 €","6,56 €","81,95 €","1,14 €","20.769,54 €","1.013,36 €","636,07 €","2.270,89 €","1.221,64 €","162,41 €","0,37 €","38,33 €","77,29 €","26,39 €","14,75 €","58,40 €","37,28 €","71,31 €","120,05 €","9.581,79 €","5.268,04 €","2.657,42 €","1,46 €","3,91 €","3,44 €","28,64 €","6,58 €","5,02 €","3,20 €","1,62 €","3,21 €","5,04 €","5,19 €","2,81 €","2,87 €","19,66 €","18.110,35 €","604,02 €","17.051,34 €"
